Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style,Activity_pattern
Allocebus,Allocebus_trichotis,Hairy-eared Dwarf Lemur,Lemuroidea,none,FFMM,1,FFMM,solitary,Nocturnal
Cercopithecus,Cercopithecus_preussi,Preuss's Monkey,Cercopithecoidea,wp,MFF,0.5,FFMM,one,Diurnal
Alouatta,Alouatta_caraya,Paranguyan Howler Monkey,Ceboidea,both,FFMM,0.469387755,FFMM,groups,Diurnal
Alouatta,Alouatta_discolor,Spix's Howler Monkey,Ceboidea,none,MFF,1,MFF,groups,Diurnal
Alouatta,Alouatta_guariba,Brown Howler Monkey,Ceboidea,wp,MFF,0.666666667,MFF,groups,Diurnal
Alouatta,Alouatta_palliata,Mantled Howler Monkey,Ceboidea,both,FFMM,0.813559322,FFMM,groups,Diurnal
Alouatta,Alouatta_pigra,Central American Black Howler Monkey,Ceboidea,both,FFMM,0.448275862,FFMM,groups,Diurnal
Alouatta,Alouatta_sara,Bolivian Red Howler Monkey,Ceboidea,wp,MFF,0.407407407,FFMM,groups,Diurnal
Alouatta,Alouatta_seniculus,Colombian Red Howler Monkey,Ceboidea,both,FFMM,0.894736842,FFMM,groups,Diurnal
Aotus,Aotus_azarae,Azara's Night Monkey,Ceboidea,none,MF,1,MF,NA,Cathemeral
Aotus,Aotus_nigriceps,Black-headed Night Monkey,Ceboidea,none,MF,1,MF,groups,Nocturnal
Aotus,Aotus_zonalis,Panamanian Night Monkey,Ceboidea,none,MF,1,MF,groups,Nocturnal
Ateles,Ateles_belzebuth,White-bellied Spider Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Ateles,Ateles_chamek,Black Spider Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Ateles,Ateles_geoffroyi,Central American Spider Monkey,Ceboidea,both,FFMM,0.884615385,FFMM,groups,Diurnal
Ateles,Ateles_hybridus,Variegated Spider Monkey,Ceboidea,wp,FFMM,0.75,FFMM,groups,Diurnal
Ateles,Ateles_marginatus,White-Whiskered Spider Monkey,Ceboidea,wp,FFMM,0.6,FFMM,groups,Diurnal
Avahi,Avahi_laniger,Eastern Wooly Lemur,Lemuroidea,none,MF,1,MF,solitary_groups,Nocturnal
Avahi,Avahi_meridionalis,Southern Wooly Lemur,Lemuroidea,none,MF,1,MF,unknown,Nocturnal
Avahi,Avahi_occidentalis,Western Wooly Lemur,Lemuroidea,none,MF,1,MF,unknown,Nocturnal
Brachyteles,Brachyteles_arachnoides,Southern Muriqui,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Brachyteles,Brachyteles_hypoxanthus,Northern Muriqui,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Cacajao,Cacajao_calvus,Red Uakari Monkey / Bald Uakari,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Cacajao,Cacajao_melanocephalus,Golden Backed Uakari,Ceboidea,both,FFMM,0.688,FFMM,groups,Diurnal
Callicebus,Callicebus_coimbrai,Coimbra-Filho's Titi Monkey,Ceboidea,none,MF,1,MF,groups,Diurnal
Callicebus,Callicebus_melanochir,Southern Bahian Titi Monkey,Ceboidea,none,MF,1,MF,groups,Diurnal
Callicebus,Callicebus_nigrifrons,Black-fronted Titi Monkey,Ceboidea,none,MF,1,MF,groups,Diurnal
Callicebus,Callicebus_personatus,Masked Titi Monkey,Ceboidea,none,MF,1,MF,groups,Diurnal
Callimico,Callimico_goeldii,Goeldi's Monkey,Ceboidea,both,MF,0.3,FFMM,groups,Diurnal
Callithrix,Callithrix_aurita,Buffy-tufted-ear Marmoset,Ceboidea,bp,MF_MFF,0.333333333,FFMM,groups,Diurnal
Callithrix,Callithrix_flaviceps,Buffy-headed Marmoset,Ceboidea,bp,FFMM,0.75,FFMM,groups,Diurnal
Callithrix,Callithrix_jacchus,Common Marmoset,Ceboidea,both,FFMM,0.5625,FFMM,groups,Diurnal
Callithrix,Callithrix_penicillata,Black-tufted-ear Marmoset,Ceboidea,bp,MFF,0.666666667,MFF,groups,Diurnal
Cebus,Cebus_albifrons,Ecuadorian White-fronted Capuchin,Ceboidea,both,FFMM,0.75,FFMM,groups,Diurnal
Cebus,Cebus_albifrons,Humboldt's White-fronted Capuchin,Ceboidea,none,MFF,1,MFF,groups,Diurnal
Cebus,Cebus_capucinus,Colombian White-faced Capuchin,Ceboidea,both,FFMM,0.858974359,FFMM,groups,Diurnal
Cebus,Cebus_kaapori,Ka'apor Capuchin,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Cebus,Cebus_olivaceus,Guianan Weeper Capuchin,Ceboidea,wp,MFF,0.75,MFF,groups,Diurnal
Cercocebus,Cercocebus_agilis,Agile Mangabey,Cercopithecoidea,wp,MFF,0.5,MFF,groups,Diurnal
Cercocebus,Cercocebus_atys,Sooty Mangabey,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Cercocebus,Cercocebus_galeritus,Tana River/ Crested Mangabey,Cercopithecoidea,wp,FFMM,0.875,FFMM,groups,Diurnal
Cercocebus,Cercocebus_atys,White napped Mangabey,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercocebus,Cercocebus_sanjei,Sanje Mangabey,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Cercocebus,Cercocebus_torquatus,Red capped Mangabey,Cercopithecoidea,wp,FFMM,0.666666667,FFMM,groups,Diurnal
Cercopithecus,Cercopithecus_ascanius,Red-tailed Monkey/Guenon,Cercopithecoidea,both,MFF,0.941176471,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_campbelli,Campbell's Monkey/Guenon,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_cephus,Moustached Monkey/Guenon,Cercopithecoidea,wp,MF,0.5,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_pogonias,Crowned Monkey,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_diana,Diana Monkey,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_erythrogaster,White-throated Monkey,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_campbelli,Lowe's Monkey,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_mitis,Blue Monkey,Cercopithecoidea,both,MFF,0.866666667,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_mona,Mona Monkey,Cercopithecoidea,wp,MFF,0.8,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_neglectus,De Brazza's' Monkey,Cercopithecoidea,both,MF,0.454545455,MF,groups,Diurnal
Cercopithecus,Cercopithecus_nictitans,Greater spot-nosed Monkey,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_petaurista,Lesser spot-nosed Monkey,Cercopithecoidea,wp,MFF,0.75,MFF,groups,Diurnal
Cercopithecus,Cercopithecus_diana,Roloway Monkey,Cercopithecoidea,wp,FFMM,1,FFMM,groups,Diurnal
Cheirogaleus,Cheirogaleus_major,Greater Dwarf Lemur,Lemuroidea,none,MF,1,MF,groups,Nocturnal
Cheirogaleus,Cheirogaleus_medius,Fat Tailed Dwarf Lemur,Lemuroidea,wp,MF,0.714285714,MF,solitary,Nocturnal
Callicebus,Callicebus_lugens,White-chested Titi Monkey,Ceboidea,none,MF,0.333333333,FMM,groups,Diurnal
Callicebus,Callicebus_torquatus,White-collared Titi Monkey,Ceboidea,none,MF,1,MF,groups,Diurnal
Chiropotes,Chiropotes_satanas,Black Saki,Ceboidea,none,FFMM,0.666666667,FFMM,groups,Diurnal
Chlorocebus,Chlorocebus_aethiops,Grivet Monkey,Cercopithecoidea,both,FFMM,0.875,FFMM,groups,Diurnal
Chlorocebus,Chlorocebus_pygerythrus,Vervet Monkey,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Colobus,Colobus_angolensis,Black-and-White Angolian Colobus,Cercopithecoidea,both,MFF,0.5,MFF,groups,Diurnal
Colobus,Colobus_guereza,Black-and-White Colobus / Mantled Guereza,Cercopithecoidea,both,MFF,0.59375,MFF,groups,Diurnal
Colobus,Colobus_polykomos,King Colobus,Cercopithecoidea,wp,MFF,0.5,FFMM,groups,Diurnal
Colobus,Colobus_satanas,Black Colobus,Cercopithecoidea,wp,FFMM,0.833333333,FFMM,groups,Diurnal
Colobus,Colobus_vellerosus,Ursine Colobus / Geoffroy’s pied colobus,Cercopithecoidea,wp,FFMM,0.6,FFMM,groups,Diurnal
Daubentonia,Daubentonia_madagascariensis,Aye-Aye,Lemuroidea,wp,solitary,0.5,MF,solitary_groups,Nocturnal
Erythrocebus,Erythrocebus_patas,Patas Monkey,Cercopithecoidea,both,MFF,0.666666667,MFF,groups,Diurnal
Eulemur,Eulemur_collaris,Red-collared Brown Lemur,Lemuroidea,wp,FFMM,0.714285714,FFMM,groups,Cathemeral
Eulemur,Eulemur_flavifrons,Blue-eyed Black Lemur,Lemuroidea,none,FFMM,1,FFMM,groups,Cathemeral
Eulemur,Eulemur_fulvus,Brown Lemur,Lemuroidea,none,FFMM,1,FFMM,groups,Cathemeral
Eulemur,Eulemur_macaco,Black Lemur,Lemuroidea,wp,FFMM,0.8,FFMM,groups,Cathemeral
Eulemur,Eulemur_mongoz,Mongoose Lemur,Lemuroidea,none,MF,1,MF,groups,Cathemeral_Diurnal_Nocturnal
Eulemur,Eulemur_rubriventer,Red-bellied Lemur,Lemuroidea,wp,MF,0.829787234,MF,groups,Cathemeral
Eulemur,Eulemur_rufifrons,Red-fronted Brown Lemur,Lemuroidea,none,FFMM,1,FFMM,groups,Cathemeral
Eulemur,Eulemur_rufus,Rufous Brown Lemur,Lemuroidea,none,FFMM,0.9375,FFMM,groups,Cathemeral
Galagoides,Galagoides_zanzibaricus,Kenya Coast Dwarf Galago,Lorisoidea,wp,MF,0.444444444,MFF,solitary,Nocturnal
Gorilla,Gorilla_beringei,Mountain Gorilla,Hominoidea,both,FFMM,0.6875,FFMM,groups,Diurnal
Gorilla,Gorilla_gorilla,Western Lowland Gorilla,Hominoidea,both,MFF,0.663043478,MFF,groups,Diurnal
Hapalemur,Hapalemur_alaotrensis,Lac Alaotra Gentle Lemur,Lemuroidea,wp,MF,0.4782608,MF,groups,Cathemeral
Hapalemur,Hapalemur_aureus,Golden Bamboo Lemur,Lemuroidea,none,MF,1,MF,groups,Diurnal
Hapalemur,Hapalemur_griseus,Gray Bamboo Lemur,Lemuroidea,none,MFF,1,MFF,groups,Diurnal
Hapalemur,Hapalemur_meridionalis,Southern Bamboo Lemur,Lemuroidea,wp,FFMM,0.5,FFMM,groups,Cathemeral_Diurnal
Hoolock,Hoolock_hoolock,Western Hoolock Gibbon,Hominoidea,wp,MF,0.868852459,MF,groups,Diurnal
Hoolock,Hoolock_leuconedys,Eastern Hoolock Gibbon,Hominoidea,both,MF,0.818181818,MF,groups,Diurnal
Hylobates,Hylobates_agilis,Agile Gibbon,Hominoidea,none,MF,1,MF,groups,Diurnal
Hylobates,Hylobates_albibarbis,Bornean White-Bearded Gibbon,Hominoidea,none,MF,1,MF,groups,Diurnal
Hylobates,Hylobates_muelleri,East Bornean Gray Gibbon,Hominoidea,none,MF,1,MF,groups,Diurnal
Hylobates,Hylobates_klossii,Kloss's Gibbon,Hominoidea,none,MF,1,MF,groups,Diurnal
Hylobates,Hylobates_lar,Lar Gibbon,Hominoidea,both,MF,0.911111111,MF,groups,Diurnal
Hylobates,Hylobates_moloch,Moloch/Silvery Gibbon,Hominoidea,wp,MF,0.8,MF,groups,Diurnal
Hylobates,Hylobates_muelleri,Müller's Gibbon,Hominoidea,none,MF,1,MF,groups,Diurnal
Hylobates,Hylobates_pileatus,Pileated Gibbon,Hominoidea,wp,MF,0.958333333,MF,groups,Diurnal
Indri,Indri_indri,Indri,Lemuroidea,both,MF,0.777777778,MF,groups,Diurnal
Oreonax,Oreonax_flavicauda,Peruvian Yellow-tailed Wooly Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Lagothrix,Lagothrix_lagotricha,Humboldt's Wooly Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Lagothrix,Lagothrix_poeppigii,Silvery Woolly Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Lemur,Lemur_catta,Ring-Tailed Lemur,Lemuroidea,both,FFMM,0.972972973,FFMM,groups,Diurnal
Leontopithecus,Leontopithecus_caissara,Black-Faced Lion Tamarin,Ceboidea,both,MF,0.44444444,MF,groups,Diurnal
Leontopithecus,Leontopithecus_chrysopygus,Black Lion Tamarin,Ceboidea,bp,MF,0.5,FMM,groups,Diurnal
Leontopithecus,Leontopithecus_rosalia,Golden Lion Tamarin,Ceboidea,both,MF,0.514285714,MF,groups,Diurnal
Lepilemur,Lepilemur_edwardsi,Milne-Edwards' Sportive Lemur,Lemuroidea,none,MF,1,MF,solitary,Nocturnal
Lepilemur,Lepilemur_leucopus,White-footed Sportive Lemur,Lemuroidea,none,MF,1,MF,solitary,Nocturnal
Lepilemur,Lepilemur_mustelinus,Weasel Sportive Lemur,Lemuroidea,wp,solitary,0.8,solitary,solitary,Nocturnal
Lepilemur,Lepilemur_ruficaudatus,Red-tailed Sportive Lemur,Lemuroidea,wp,MF,0.888888889,MF,solitary,Nocturnal
Lophocebus,Lophocebus_albigena,Grey-cheeked Mangabey,Cercopithecoidea,wp,FFMM,0.75,FFMM,groups,Diurnal
Loris,Loris_lydekkerianus,Slender Loris,Lorisoidea,both,solitary,0.476190476,solitary,solitary_groups,Nocturnal
Macaca,Macaca_arctoides,Stump-tailed Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_assamensis,Assam(ese) Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_cyclopis,Taiwanese / Formosan Rock Macaque,Cercopithecoidea,both,FFMM,0.705882353,FFMM,groups,Diurnal
Macaca,Macaca_fascicularis,Long-tailed/Crab-eating Macaque,Cercopithecoidea,both,FFMM,0.915662651,FFMM,groups,Diurnal
Macaca,Macaca_fuscata,Japanese Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_leonina,Northern Pig-tailed Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_maura,Moor Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_mulatta,Rhesus Macaque,Cercopithecoidea,none,FFMM,0.97826087,FFMM,groups,Diurnal
Macaca,Macaca_munzala,Arunachal Macaque,Cercopithecoidea,both,FFMM,0.897435897,FFMM,groups,Diurnal
Macaca,Macaca_nemestrina,Southern/Sunda Pig-tailed Macaque,Cercopithecoidea,both,FFMM,0.666666667,FFMM,groups,Diurnal
Macaca,Macaca_nigra,Crested black Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_radiata,Bonnet Macaque,Cercopithecoidea,both,FFMM,0.942028986,FFMM,groups,Diurnal
Macaca,Macaca_siberu,Siberut Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_silenus,Lion-tailed Macaque / Ouanderou Macaque,Cercopithecoidea,wp,FFMM,0.681818182,FFMM,groups,Diurnal
Macaca,Macaca_sinica,Toque Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_sylvanus,Barbary Macaques,Cercopithecoidea,both,FFMM,0.974193548,FFMM,groups,Diurnal
Macaca,Macaca_thibetana,Tibetan Macaques,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Macaca,Macaca_tonkeana,Tonkean Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Mandrillus,Mandrillus_leucophaeus,Drill,Cercopithecoidea,wp,FFMM,0.666666667,FFMM,groups,Diurnal
Mandrillus,Mandrillus_sphinx,Mandrill,Cercopithecoidea,both,FFMM,0.833333333,FFMM,groups,Diurnal
Mico,Mico_argentatus,Silvery Marmoset,Ceboidea,wp,MF,0.666666667,MF,groups,Diurnal
Microcebus,Microcebus_murinus,Gray Mouse Lemur,Lemuroidea,wp,solitary,1,solitary,solitary,Nocturnal
Microcebus,Microcebus_ravelobensis,Golden Brown Mouse Lemur,Lemuroidea,wp,solitary,0.538461538,solitary,solitary,Nocturnal
Miopithecus,Miopithecus_talapoin,Southern Talapoin Monkey,Cercopithecoidea,wp,FFMM,1,FFMM,groups,Diurnal
Mirza,Mirza_coquereli,Coquerel's Giant Mouse Lemur,Lemuroidea,none,solitary,1,solitary,solitary,Nocturnal
Nasalis,Nasalis_larvatus,Proboscis Monkey,Cercopithecoidea,both,MFF,0.884615385,MFF,groups,Diurnal
Nomascus,Nomascus_concolor,Western Black Crested Gibbon,Hominoidea,none,MFF,1,MFF,groups,Diurnal
Nomascus,Nomascus_gabriellae,Southern Yellow-Cheeked Crested Gibbon,Hominoidea,wp,MF,0.789473684,MF,groups,Diurnal
Nomascus,Nomascus_hainanus,Hainan Crested-Gibbon,Hominoidea,wp,MFF,0.777777778,MFF,groups,Diurnal
Nomascus,Nomascus_nasutus,Eastern Black Crested Gibbon/Cao Vit Gibbon,Hominoidea,wp,MFF,0.8,MFF,groups,Diurnal
Nycticebus,Nycticebus_coucang,Sunda Slow Loris,Lorisoidea,wp,solitary,0.555555556,solitary,solitary,Nocturnal
Otolemur,Otolemur_crassicaudatus,Brown Greater Galago,Lorisoidea,none,solitary,1,solitary,solitary,Nocturnal
Otolemur,Otolemur_garnettii,Northern Greater Galago,Lorisoidea,both,solitary,0.833333333,solitary,solitary_groups,Nocturnal
Pan,Pan_paniscus,Bonobo / Gracile(Pygmy) Chimpanzee,Hominoidea,none,FFMM,1,FFMM,groups,Diurnal
Pan,Pan_troglodytes,Chimpanzee,Hominoidea,none,FFMM,1,FFMM,solitary_groups,Diurnal
Papio,Papio_anubis,Olive baboon,Cercopithecoidea,wp,FFMM,0.9,FFMM,groups,Diurnal
Papio,Papio_cynocephalus,Yellow baboon,Cercopithecoidea,both,FFMM,0.896551724,FFMM,groups,Diurnal
Papio,Papio_hamadryas,Hamadryas baboon,Cercopithecoidea,both,MFF,0.5,FFMM,groups,Diurnal
Papio,Papio_papio,Guinea baboon,Cercopithecoidea,wp,FFMM,0.726530612,FFMM,groups,Diurnal
Papio,Papio_ursinus,Chacma baboon,Cercopithecoidea,both,FFMM,0.883333333,FFMM,groups,Diurnal
Perodicticus,Perodicticus_potto,Western african Potto,Lorisoidea,wp,solitary,0.934579439,solitary,solitary,Nocturnal
Phaner,Phaner_furcifer,Masoala Fork-Marked Lemur,Lemuroidea,wp,MF,0.846153846,MF,solitary,Nocturnal
Procolobus,Procolobus_badius,Upper Guinea Red Colobus / Red Colobus monkey,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Procolobus,Procolobus_kirkii,Kirk's Red Colobus,Cercopithecoidea,wp,FFMM,0.9,FFMM,groups,Diurnal
Procolobus,Procolobus_rufomitratus,Oustalet's Red Colobus,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Procolobus,Procolobus_rufomitratus,Tana River Red Colobus,Cercopithecoidea,wp,MFF,0.5,FFMM,groups,Diurnal
Pithecia,Pithecia_aequatorialis,Equatorial Saki,Ceboidea,both,MF,0.545454545,MF,groups,Diurnal
Pithecia,Pithecia_chrysocephala,Golden-faced Saki,Ceboidea,none,MFF,1,MFF,groups,Diurnal
Pithecia,Pithecia_irrorata,Gray's Bald-faced Saki,Ceboidea,wp,MFF,0.6,MFF,groups,Diurnal
Pithecia,Pithecia_pithecia,White-faced Saki,Ceboidea,both,MF,0.689655172,MF,groups,Diurnal
Callicebus,Callicebus_discolor,Red-crowned Titi Monkey,Ceboidea,wp,MF,0.769230769,MF,groups,Diurnal
Callicebus,Callicebus_oenanthe,Andean Titi Monkey,Ceboidea,none,MF,1,MF,groups,Diurnal
Pongo,Pongo_pygmaeus,Western Bornean Orangutan,Hominoidea,wp,solitary,0.955223881,solitary,solitary_groups,Diurnal
Presbytis,Presbytis_comata,Grizzled Langur,Cercopithecoidea,wp,MF,0.555555556,MF,groups,Diurnal
Presbytis,Presbytis_frontata,White-fronted Langur,Cercopithecoidea,none,MF,1,MF,groups,Diurnal
Presbytis,Presbytis_hosei,Hose's Langur,Cercopithecoidea,both,MF,0.666666667,MF,groups,Diurnal
Presbytis,Presbytis_melalophos,Banded Langur,Cercopithecoidea,wp,MFF,0.666666667,MFF,groups,Diurnal
Presbytis,Presbytis_natunae,Natuna Leaf Monkey,Cercopithecoidea,wp,MF,0.5,MFF,groups,Diurnal
Presbytis,Presbytis_potenziani,Mentawai Island Langur,Cercopithecoidea,bp,MF,0.928571429,MF,groups,Diurnal
Presbytis,Presbytis_rubicunda,Red/Maroon Langur,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Presbytis,Presbytis_thomasi,Thomas' Langur,Cercopithecoidea,wp,MFF,0.966666667,MFF,groups,Diurnal
Procolobus,Procolobus_verus,Olive Colobus,Cercopithecoidea,both,MFF,0.466666667,MFF,groups,Diurnal
Prolemur,Prolemur_simus,Greater Bamboo Lemur,Lemuroidea,wp,MFF,0.5,FFMM,groups,Cathemeral
Propithecus,Propithecus_edwardsi,Milne-Edwards' Sifaka,Lemuroidea,wp,FFMM,0.296296296,FFMM,groups,Diurnal
Propithecus,Propithecus_perrieri,Perrier's Sifaka,Lemuroidea,wp,MFF,0.5,FMM,groups,Diurnal
Propithecus,Propithecus_verreauxi,Verreaux's Sifaka,Lemuroidea,both,FFMM,0.512,FFMM,groups,Diurnal
Pygathrix,Pygathrix_nemaeus,Red Shanked Douc,Cercopithecoidea,both,FFMM,0.666666667,FFMM,groups,Diurnal
Pygathrix,Pygathrix_nigripes,Black Shanked Douc,Cercopithecoidea,wp,FFMM,0.666666667,FFMM,groups,Diurnal
Rhinopithecus,Rhinopithecus_avunculus,Tonkin Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.571428571,MFF,groups,Diurnal
Rhinopithecus,Rhinopithecus_bieti,Yunnan/Black-and-White Snub-Nosed Langur,Cercopithecoidea,bp,MFF,0.930693069,MFF,groups,Diurnal
Rhinopithecus,Rhinopithecus_brelichi,Gray Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.866666667,MFF,groups,Diurnal
Rhinopithecus,Rhinopithecus_roxellana,Golden Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.979591837,MFF,groups,Diurnal
Rhinopithecus,Rhinopithecus_strykeri,Burmese Snub-Nosed Monkey,Cercopithecoidea,wp,MFF,0.625,MFF,groups,Diurnal
Rungwecebus,Rungwecebus_kipunji,Kipunji/Highland Mangabey,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Leontocebus,Leontocebus_nigricollis,Brown Mantled Tamarin,Ceboidea,both,FMM,0.282608696,FMM,groups,Diurnal
Saguinus,Saguinus_imperator,Emperor Tamarin,Ceboidea,wp,MFF,0.5,FFMM,groups,Diurnal
Saguinus,Saguinus_labiatus,Red-bellied Tamarin,Ceboidea,bp,FMM,0.555555556,FMM,groups,Diurnal
Saguinus,Saguinus_mystax,Mustached Tamarin,Ceboidea,both,FFMM,0.619047619,FFMM,groups,Diurnal
Leontocebus,Leontocebus_nigricollis,Black Mantled Tamarin,Ceboidea,wp,MF,0.875,MF,groups,Diurnal
Saguinus,Saguinus_oedipus,Cotton-top Tamarin,Ceboidea,wp,FFMM,0.894736842,FFMM,groups,Diurnal
Saimiri,Saimiri_sciureus,Guianan Squirrel Monkey,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Sapajus,Sapajus_apella,Cuianan Brown Capuchin,Ceboidea,both,FFMM,0.714285714,FFMM,groups,Diurnal
Sapajus,Sapajus_cay,Hooded Capuchin,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Sapajus,Sapajus_flavius,Blond Capuchin,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Sapajus,Sapajus_libidinosus,Bearded Capuchin,Ceboidea,none,FFMM,1,FFMM,groups,Diurnal
Sapajus,Sapajus_nigritus,Black-horned Capuchin,Ceboidea,both,FFMM,0.642857143,FFMM,groups,Diurnal
Semnopithecus,Semnopithecus_ajax,Himalayan/Kashmir Grey Langur,Cercopithecoidea,wp,FFMM,0.769230769,FFMM,groups,Diurnal
Semnopithecus,Semnopithecus_entellus,Hanuman/Northern Plain Grey Langur,Cercopithecoidea,both,MFF,0.657142857,MFF,groups,Diurnal
Semnopithecus,Semnopithecus_hypoleucos,Black-Footed Grey Langur / Malabar Sacred Langur,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Semnopithecus,Semnopithecus_schistaceus,Nepal Grey langur,Cercopithecoidea,wp,FFMM,0.833333333,FFMM,groups,Diurnal
Simias,Simias_concolor,Pig-tailed Langur / Simakobu Monkey,Cercopithecoidea,both,MFF,0.666666667,MFF,NA,Diurnal
Symphalangus,Symphalangus_syndactylus,Siamang,Hominoidea,bp,MF,0.461538462,MF,groups,Diurnal
Tarsius,Tarsius_bancanus,Western Tarsier,Tarsioidea,none,solitary,1,solitary,solitary_groups,Nocturnal
Tarsius,Tarsius_lariang,Lariang Tarsier,Tarsioidea,none,MF,1,MF,groups,Nocturnal
Tarsius,Tarsius_pumilus,Sulawesi Mountain/Pygmy Tariser,Tarsioidea,none,FMM,1,FMM,groups,Nocturnal
Tarsius,Tarsius_sangirensis,Great Sangihe Tarsier,Tarsioidea,wp,MF,0.6,MF,solitary_groups,Nocturnal
Tarsius,Tarsius_syrichta,Philippine Tarsier,Tarsioidea,both,solitary,0.857142857,solitary,solitary_groups,Nocturnal
Tarsius,Tarsius_tarsier,Spectral/Selayar Tarsier,Tarsioidea,wp,MF,0.80952381,MF,groups,Nocturnal
Theropithecus,Theropithecus_gelada,Gelada Baboon,Cercopithecoidea,wp,MFF,0.692307692,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_auratus,Javan Lutung,Cercopithecoidea,bp,MFF,0.5,FFMM,groups,Diurnal
Trachypithecus,Trachypithecus_cristatus,Silvered leaf Monkey,Cercopithecoidea,none,FFMM,1,FFMM,groups,Diurnal
Trachypithecus,Trachypithecus_francoisi,François' Langur,Cercopithecoidea,both,MFF,0.571428571,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_geei,Golden Langur,Cercopithecoidea,none,MFF,0.8,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_germaini,Germain's Langur,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_johnii,Nilgiri Langur,Cercopithecoidea,bp,FFMM,0.75,FFMM,groups,Diurnal
Trachypithecus,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey,Cercopithecoidea,both,MFF,0.75,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_phayrei,Phayre's leaf Monkey,Cercopithecoidea,wp,MFF,0.555555556,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_pileatus,Capped Langur,Cercopithecoidea,wp,MFF,0.75,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_poliocephalus,Cat Ba Langur,Cercopithecoidea,both,MFF,0.903846154,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_shortridgei,Shortridge's capped Langur,Cercopithecoidea,none,MFF,1,MFF,groups,Diurnal
Trachypithecus,Trachypithecus_vetulus,Purple-faced Leaf Monkey,Cercopithecoidea,both,MFF,0.5,FFMM,groups,Diurnal
Varecia,Varecia_variegata,Black-and-white Ruffed Lemur,Lemuroidea,none,FFMM,1,FFMM,groups,Diurnal
