Order,Superfamily,Species,character_data,Genus
Primates,Lemuroidea,Allocebus_trichotis,G,Allocebus
Primates,Cercopithecoidea,Cercopithecus_preussi,G,Cercopithecus
Primates,Ceboidea,Alouatta_caraya,G,Alouatta
Primates,Ceboidea,Alouatta_discolor,G,Alouatta
Primates,Ceboidea,Alouatta_guariba,G,Alouatta
Primates,Ceboidea,Alouatta_palliata,G,Alouatta
Primates,Ceboidea,Alouatta_pigra,G,Alouatta
Primates,Ceboidea,Alouatta_sara,G,Alouatta
Primates,Ceboidea,Alouatta_seniculus,G,Alouatta
Primates,Ceboidea,Aotus_azarae,P,Aotus
Primates,Ceboidea,Aotus_nigriceps,P,Aotus
Primates,Ceboidea,Aotus_zonalis,P,Aotus
Primates,Ceboidea,Ateles_belzebuth,G,Ateles
Primates,Ceboidea,Ateles_chamek,G,Ateles
Primates,Ceboidea,Ateles_geoffroyi,G,Ateles
Primates,Ceboidea,Ateles_hybridus,G,Ateles
Primates,Ceboidea,Ateles_marginatus,G,Ateles
Primates,Lemuroidea,Avahi_laniger,P,Avahi
Primates,Lemuroidea,Avahi_meridionalis,P,Avahi
Primates,Lemuroidea,Avahi_occidentalis,P,Avahi
Primates,Ceboidea,Brachyteles_arachnoides,G,Brachyteles
Primates,Ceboidea,Brachyteles_hypoxanthus,G,Brachyteles
Primates,Ceboidea,Cacajao_calvus,G,Cacajao
Primates,Ceboidea,Cacajao_melanocephalus,G,Cacajao
Primates,Ceboidea,Callicebus_coimbrai,P,Callicebus
Primates,Ceboidea,Callicebus_melanochir,P,Callicebus
Primates,Ceboidea,Callicebus_nigrifrons,P,Callicebus
Primates,Ceboidea,Callicebus_personatus,P,Callicebus
Primates,Ceboidea,Callimico_goeldii,P,Callimico
Primates,Ceboidea,Callithrix_aurita,G,Callithrix
Primates,Ceboidea,Callithrix_flaviceps,G,Callithrix
Primates,Ceboidea,Callithrix_jacchus,G,Callithrix
Primates,Ceboidea,Callithrix_penicillata,G,Callithrix
Primates,Ceboidea,Cebus_albifrons,G,Cebus
Primates,Ceboidea,Cebus_capucinus,G,Cebus
Primates,Ceboidea,Cebus_kaapori,G,Cebus
Primates,Ceboidea,Cebus_olivaceus,G,Cebus
Primates,Cercopithecoidea,Cercocebus_agilis,G,Cercocebus
Primates,Cercopithecoidea,Cercocebus_atys,G,Cercocebus
Primates,Cercopithecoidea,Cercocebus_galeritus,G,Cercocebus
Primates,Cercopithecoidea,Cercocebus_sanjei,G,Cercocebus
Primates,Cercopithecoidea,Cercocebus_torquatus,G,Cercocebus
Primates,Cercopithecoidea,Cercopithecus_ascanius,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_campbelli,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_cephus,P,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_pogonias,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_diana,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_erythrogaster,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_mitis,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_mona,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_neglectus,P,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_nictitans,G,Cercopithecus
Primates,Cercopithecoidea,Cercopithecus_petaurista,G,Cercopithecus
Primates,Lemuroidea,Cheirogaleus_major,P,Cheirogaleus
Primates,Lemuroidea,Cheirogaleus_medius,P,Cheirogaleus
Primates,Ceboidea,Callicebus_lugens,P,Callicebus
Primates,Ceboidea,Callicebus_torquatus,P,Callicebus
Primates,Ceboidea,Chiropotes_satanas,G,Chiropotes
Primates,Cercopithecoidea,Chlorocebus_aethiops,G,Chlorocebus
Primates,Cercopithecoidea,Chlorocebus_pygerythrus,G,Chlorocebus
Primates,Cercopithecoidea,Colobus_angolensis,G,Colobus
Primates,Cercopithecoidea,Colobus_guereza,G,Colobus
Primates,Cercopithecoidea,Colobus_polykomos,G,Colobus
Primates,Cercopithecoidea,Colobus_satanas,G,Colobus
Primates,Cercopithecoidea,Colobus_vellerosus,G,Colobus
Primates,Lemuroidea,Daubentonia_madagascariensis,S,Daubentonia
Primates,Cercopithecoidea,Erythrocebus_patas,G,Erythrocebus
Primates,Lemuroidea,Eulemur_collaris,G,Eulemur
Primates,Lemuroidea,Eulemur_flavifrons,G,Eulemur
Primates,Lemuroidea,Eulemur_fulvus,G,Eulemur
Primates,Lemuroidea,Eulemur_macaco,G,Eulemur
Primates,Lemuroidea,Eulemur_mongoz,P,Eulemur
Primates,Lemuroidea,Eulemur_rubriventer,P,Eulemur
Primates,Lemuroidea,Eulemur_rufifrons,G,Eulemur
Primates,Lemuroidea,Eulemur_rufus,G,Eulemur
Primates,Lorisoidea,Galagoides_zanzibaricus,P,Galagoides
Primates,Hominoidea,Gorilla_beringei,G,Gorilla
Primates,Hominoidea,Gorilla_gorilla,G,Gorilla
Primates,Lemuroidea,Hapalemur_alaotrensis,P,Hapalemur
Primates,Lemuroidea,Hapalemur_aureus,P,Hapalemur
Primates,Lemuroidea,Hapalemur_griseus,G,Hapalemur
Primates,Lemuroidea,Hapalemur_meridionalis,G,Hapalemur
Primates,Hominoidea,Hoolock_hoolock,P,Hoolock
Primates,Hominoidea,Hoolock_leuconedys,P,Hoolock
Primates,Hominoidea,Hylobates_agilis,P,Hylobates
Primates,Hominoidea,Hylobates_albibarbis,P,Hylobates
Primates,Hominoidea,Hylobates_muelleri,P,Hylobates
Primates,Hominoidea,Hylobates_klossii,P,Hylobates
Primates,Hominoidea,Hylobates_lar,P,Hylobates
Primates,Hominoidea,Hylobates_moloch,P,Hylobates
Primates,Hominoidea,Hylobates_pileatus,P,Hylobates
Primates,Lemuroidea,Indri_indri,P,Indri
Primates,Ceboidea,Oreonax_flavicauda,G,Oreonax
Primates,Ceboidea,Lagothrix_lagotricha,G,Lagothrix
Primates,Ceboidea,Lagothrix_poeppigii,G,Lagothrix
Primates,Lemuroidea,Lemur_catta,G,Lemur
Primates,Ceboidea,Leontopithecus_caissara,P,Leontopithecus
Primates,Ceboidea,Leontopithecus_chrysopygus,P,Leontopithecus
Primates,Ceboidea,Leontopithecus_rosalia,P,Leontopithecus
Primates,Lemuroidea,Lepilemur_edwardsi,P,Lepilemur
Primates,Lemuroidea,Lepilemur_leucopus,P,Lepilemur
Primates,Lemuroidea,Lepilemur_mustelinus,S,Lepilemur
Primates,Lemuroidea,Lepilemur_ruficaudatus,P,Lepilemur
Primates,Cercopithecoidea,Lophocebus_albigena,G,Lophocebus
Primates,Lorisoidea,Loris_lydekkerianus,S,Loris
Primates,Cercopithecoidea,Macaca_arctoides,G,Macaca
Primates,Cercopithecoidea,Macaca_assamensis,G,Macaca
Primates,Cercopithecoidea,Macaca_cyclopis,G,Macaca
Primates,Cercopithecoidea,Macaca_fascicularis,G,Macaca
Primates,Cercopithecoidea,Macaca_fuscata,G,Macaca
Primates,Cercopithecoidea,Macaca_leonina,G,Macaca
Primates,Cercopithecoidea,Macaca_maura,G,Macaca
Primates,Cercopithecoidea,Macaca_mulatta,G,Macaca
Primates,Cercopithecoidea,Macaca_munzala,G,Macaca
Primates,Cercopithecoidea,Macaca_nemestrina,G,Macaca
Primates,Cercopithecoidea,Macaca_nigra,G,Macaca
Primates,Cercopithecoidea,Macaca_radiata,G,Macaca
Primates,Cercopithecoidea,Macaca_siberu,G,Macaca
Primates,Cercopithecoidea,Macaca_silenus,G,Macaca
Primates,Cercopithecoidea,Macaca_sinica,G,Macaca
Primates,Cercopithecoidea,Macaca_sylvanus,G,Macaca
Primates,Cercopithecoidea,Macaca_thibetana,G,Macaca
Primates,Cercopithecoidea,Macaca_tonkeana,G,Macaca
Primates,Cercopithecoidea,Mandrillus_leucophaeus,G,Mandrillus
Primates,Cercopithecoidea,Mandrillus_sphinx,G,Mandrillus
Primates,Ceboidea,Mico_argentatus,P,Mico
Primates,Lemuroidea,Microcebus_murinus,S,Microcebus
Primates,Lemuroidea,Microcebus_ravelobensis,S,Microcebus
Primates,Cercopithecoidea,Miopithecus_talapoin,G,Miopithecus
Primates,Lemuroidea,Mirza_coquereli,S,Mirza
Primates,Cercopithecoidea,Nasalis_larvatus,G,Nasalis
Primates,Hominoidea,Nomascus_concolor,G,Nomascus
Primates,Hominoidea,Nomascus_gabriellae,P,Nomascus
Primates,Hominoidea,Nomascus_hainanus,G,Nomascus
Primates,Hominoidea,Nomascus_nasutus,G,Nomascus
Primates,Lorisoidea,Nycticebus_coucang,S,Nycticebus
Primates,Lorisoidea,Otolemur_crassicaudatus,S,Otolemur
Primates,Lorisoidea,Otolemur_garnettii,S,Otolemur
Primates,Hominoidea,Pan_paniscus,G,Pan
Primates,Hominoidea,Pan_troglodytes,G,Pan
Primates,Cercopithecoidea,Papio_anubis,G,Papio
Primates,Cercopithecoidea,Papio_cynocephalus,G,Papio
Primates,Cercopithecoidea,Papio_hamadryas,G,Papio
Primates,Cercopithecoidea,Papio_papio,G,Papio
Primates,Cercopithecoidea,Papio_ursinus,G,Papio
Primates,Lorisoidea,Perodicticus_potto,S,Perodicticus
Primates,Lemuroidea,Phaner_furcifer,P,Phaner
Primates,Cercopithecoidea,Procolobus_badius,G,Procolobus
Primates,Cercopithecoidea,Procolobus_kirkii,G,Procolobus
Primates,Cercopithecoidea,Procolobus_rufomitratus,G,Procolobus
Primates,Ceboidea,Pithecia_aequatorialis,P,Pithecia
Primates,Ceboidea,Pithecia_chrysocephala,G,Pithecia
Primates,Ceboidea,Pithecia_irrorata,G,Pithecia
Primates,Ceboidea,Pithecia_pithecia,P,Pithecia
Primates,Ceboidea,Callicebus_discolor,P,Callicebus
Primates,Ceboidea,Callicebus_oenanthe,P,Callicebus
Primates,Hominoidea,Pongo_pygmaeus,S,Pongo
Primates,Cercopithecoidea,Presbytis_comata,P,Presbytis
Primates,Cercopithecoidea,Presbytis_frontata,P,Presbytis
Primates,Cercopithecoidea,Presbytis_hosei,P,Presbytis
Primates,Cercopithecoidea,Presbytis_melalophos,G,Presbytis
Primates,Cercopithecoidea,Presbytis_natunae,P,Presbytis
Primates,Cercopithecoidea,Presbytis_potenziani,P,Presbytis
Primates,Cercopithecoidea,Presbytis_rubicunda,G,Presbytis
Primates,Cercopithecoidea,Presbytis_thomasi,G,Presbytis
Primates,Cercopithecoidea,Procolobus_verus,G,Procolobus
Primates,Lemuroidea,Prolemur_simus,G,Prolemur
Primates,Lemuroidea,Propithecus_edwardsi,G,Propithecus
Primates,Lemuroidea,Propithecus_perrieri,G,Propithecus
Primates,Lemuroidea,Propithecus_verreauxi,G,Propithecus
Primates,Cercopithecoidea,Pygathrix_nemaeus,G,Pygathrix
Primates,Cercopithecoidea,Pygathrix_nigripes,G,Pygathrix
Primates,Cercopithecoidea,Rhinopithecus_avunculus,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_bieti,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_brelichi,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_roxellana,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_strykeri,G,Rhinopithecus
Primates,Cercopithecoidea,Rungwecebus_kipunji,G,Rungwecebus
Primates,Ceboidea,Leontocebus_nigricollis,G,Leontocebus
Primates,Ceboidea,Saguinus_imperator,G,Saguinus
Primates,Ceboidea,Saguinus_labiatus,G,Saguinus
Primates,Ceboidea,Saguinus_mystax,G,Saguinus
Primates,Ceboidea,Leontocebus_nigricollis,P,Leontocebus
Primates,Ceboidea,Saguinus_oedipus,G,Saguinus
Primates,Ceboidea,Saimiri_sciureus,G,Saimiri
Primates,Ceboidea,Sapajus_apella,G,Sapajus
Primates,Ceboidea,Sapajus_cay,G,Sapajus
Primates,Ceboidea,Sapajus_flavius,G,Sapajus
Primates,Ceboidea,Sapajus_libidinosus,G,Sapajus
Primates,Ceboidea,Sapajus_nigritus,G,Sapajus
Primates,Cercopithecoidea,Semnopithecus_ajax,G,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_entellus,G,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_hypoleucos,G,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_schistaceus,G,Semnopithecus
Primates,Cercopithecoidea,Simias_concolor,G,Simias
Primates,Hominoidea,Symphalangus_syndactylus,P,Symphalangus
Primates,Tarsioidea,Tarsius_bancanus,S,Tarsius
Primates,Tarsioidea,Tarsius_lariang,P,Tarsius
Primates,Tarsioidea,Tarsius_pumilus,G,Tarsius
Primates,Tarsioidea,Tarsius_sangirensis,P,Tarsius
Primates,Tarsioidea,Tarsius_syrichta,S,Tarsius
Primates,Tarsioidea,Tarsius_tarsier,P,Tarsius
Primates,Cercopithecoidea,Theropithecus_gelada,G,Theropithecus
Primates,Cercopithecoidea,Trachypithecus_auratus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_cristatus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_francoisi,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_geei,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_germaini,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_johnii,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_obscurus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_phayrei,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_pileatus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_poliocephalus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_shortridgei,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_vetulus,G,Trachypithecus
Primates,Lemuroidea,Varecia_variegata,G,Varecia
Lagomorpha,NA,Oryctolagus_cuniculus,G,Oryctolagus
Rodentia,NA,Mus_musculus,G,Mus
Scandentia,NA,Tupaia_gracilis,D-P,Tupaia
Scandentia,NA,Tupaia_longipes,D-P,Tupaia
Scandentia,NA,Tupaia_minor,D-P,Tupaia
Scandentia,NA,Tupaia_montana,D-P,Tupaia
Scandentia,NA,Tupaia_tana,D-P,Tupaia
